arch,run_idx,seed,hazard_cost,num_steps,query_type,statement_text,source_type,source_key,source_resolves
v1_6,0,202358875,0.1,320000,what_learned,"I flagged (5, 9) as a threat at step 373, supported by 2 confirming observations. This flag was later disconfirmed (1 disconfirming observation) when the cell transformed. The cell transformed at step 552.",provenance,"threat:(5, 9)",True
v1_6,0,202358875,0.1,320000,what_learned,"I flagged (6, 8) as a threat at step 507, supported by 1 confirming observation. This flag was later disconfirmed (1 disconfirming observation) when the cell transformed. The cell transformed at step 33044.",provenance,"threat:(6, 8)",True
v1_6,0,202358875,0.1,320000,what_learned,"I mastered the attractor at (9, 10) at step 552, confirmed by 829 confirming observations.",provenance,"mastery:(9, 10)",True
v1_6,0,202358875,0.1,320000,what_learned,"I banked knowledge at (5, 9) at step 619, confirmed by 1742 confirming observations.",provenance,"knowledge_banking:(5, 9)",True
v1_6,0,202358875,0.1,320000,what_learned,"This knowledge at (5, 9) derives from a threat that was flagged earlier (record: threat:(5, 9)). The structural transformation connected them.",provenance,"threat:(5, 9)",True
v1_6,0,202358875,0.1,320000,what_learned,"I mastered the attractor at (3, 3) at step 801, confirmed by 1452 confirming observations.",provenance,"mastery:(3, 3)",True
v1_6,0,202358875,0.1,320000,what_learned,"I mastered the attractor at (11, 5) at step 1015, confirmed by 901 confirming observations.",provenance,"mastery:(11, 5)",True
v1_6,0,202358875,0.1,320000,what_learned,"I flagged (5, 8) as a threat at step 2882, supported by 0 confirming observations. This flag was later disconfirmed (1 disconfirming observation) when the cell transformed. The cell transformed at step 38366.",provenance,"threat:(5, 8)",True
v1_6,0,202358875,0.1,320000,what_learned,"I mastered the attractor at (4, 15) at step 32332, confirmed by 1081 confirming observations.",provenance,"mastery:(4, 15)",True
v1_6,0,202358875,0.1,320000,what_learned,"I mastered the attractor at (15, 16) at step 33044, confirmed by 898 confirming observations.",provenance,"mastery:(15, 16)",True
v1_6,0,202358875,0.1,320000,what_learned,"I banked knowledge at (14, 14) at step 33979, confirmed by 977 confirming observations.",provenance,"knowledge_banking:(14, 14)",True
v1_6,0,202358875,0.1,320000,what_learned,"I banked knowledge at (14, 13) at step 33980, confirmed by 690 confirming observations.",provenance,"knowledge_banking:(14, 13)",True
v1_6,0,202358875,0.1,320000,what_learned,"I banked knowledge at (6, 8) at step 34157, confirmed by 1157 confirming observations.",provenance,"knowledge_banking:(6, 8)",True
v1_6,0,202358875,0.1,320000,what_learned,"This knowledge at (6, 8) derives from a threat that was flagged earlier (record: threat:(6, 8)). The structural transformation connected them.",provenance,"threat:(6, 8)",True
v1_6,0,202358875,0.1,320000,what_learned,"I mastered the attractor at (16, 3) at step 38366, confirmed by 202 confirming observations.",provenance,"mastery:(16, 3)",True
v1_6,0,202358875,0.1,320000,what_learned,"The end-state activated at step 38968, confirmed by 281031 confirming observations.",provenance,end_state_activation,True
v1_6,0,202358875,0.1,320000,what_learned,"I banked knowledge at (5, 8) at step 38968, confirmed by 690 confirming observations.",provenance,"knowledge_banking:(5, 8)",True
v1_6,0,202358875,0.1,320000,what_learned,"This knowledge at (5, 8) derives from a threat that was flagged earlier (record: threat:(5, 8)). The structural transformation connected them.",provenance,"threat:(5, 8)",True
v1_6,0,202358875,0.1,320000,what_learned,"I banked the end-state at step 39277, confirmed by 638 confirming observations.",provenance,"end_state_banking:(10, 8)",True
v1_6,0,202358875,0.1,320000,how_related,I first perceived the GREEN colour cell at step 215. This was my first encounter with the GREEN family.,family,green_cell_registered,True
v1_6,0,202358875,0.1,320000,how_related,I mastered the GREEN attractor (SQUARE_2D) at step 32332. This completed the acquirable tier of the GREEN family.,family,green_attractor_mastered,True
v1_6,0,202358875,0.1,320000,how_related,I banked the GREEN knowledge cell (SPHERE_3D) at step 33979. This completed the bankable tier of the GREEN family. The cross-reference to the GREEN attractor is complete.,family,green_knowledge_banked,True
v1_6,0,202358875,0.1,320000,how_related,I first perceived the YELLOW colour cell at step 84. This was my first encounter with the YELLOW family.,family,yellow_cell_registered,True
v1_6,0,202358875,0.1,320000,how_related,I mastered the YELLOW attractor (TRIANGLE_2D) at step 38366. This completed the acquirable tier of the YELLOW family.,family,yellow_attractor_mastered,True
v1_6,0,202358875,0.1,320000,how_related,I banked the YELLOW knowledge cell (PYRAMID_3D) at step 38968. This completed the bankable tier of the YELLOW family. The cross-reference to the YELLOW attractor is complete.,family,yellow_knowledge_banked,True
v1_6,0,202358875,0.1,320000,how_related,"My family traversal narrative contains 6 events across both families, in this order: 84:colour_registered:YELLOW|215:colour_registered:GREEN|32332:attractor_mastered:GREEN|33979:knowledge_banked:GREEN|38366:attractor_mastered:YELLOW|38968:knowledge_banked:YELLOW.",family,family_traversal_narrative,True
v1_6,0,202358875,0.1,320000,how_related,"The two families share the same form-progression structure (Measure 2 = 1.0): both progress from a flat colour cell through a 2D acquirable form to a 3D bankable form. This parallelism is a structural assertion of the prepared environment, not a finding about my behaviour.",comparison,form_progression_parallelism,True
v1_6,0,202358875,0.1,320000,how_related,The tier-ordering similarity between the two families is 0.0 (Measure 1). A value of 0.0 indicates that both families were traversed in the same tier order.,comparison,tier_structure_similarity,True
v1_6,0,202358875,0.1,320000,how_related,My traversal-sequence distance between the two families is 0.703486 (Measure 3). I entered the GREEN family first. The traversal pattern was interleaved. This is my developmental tempo for this run: the degree to which the two family arcs were separated or interleaved in time.,comparison,traversal_sequence_distance,True
v1_6,0,202358875,0.1,320000,where_surprised,"I encountered (5, 8) (YELLOW family) at step 2882 before my precondition was met. I paid the cost and did not receive the transformation. I was aware of this cell before I was ready for it. The transformation eventually fired at step 38366. The resolution window was 35484 steps: the developmental distance between awareness and readiness.",prediction_error,encounter:0,True
v1_6,0,202358875,0.1,320000,where_surprised,"I encountered (5, 9) (unaffiliated cell) at step 369 before my precondition was met. I paid the cost and did not receive the transformation. I was aware of this cell before I was ready for it. The transformation eventually fired at step 552. The resolution window was 183 steps: the developmental distance between awareness and readiness.",prediction_error,encounter:1,True
v1_6,0,202358875,0.1,320000,where_surprised,"I encountered (5, 9) (unaffiliated cell) at step 371 before my precondition was met. I paid the cost and did not receive the transformation. I was aware of this cell before I was ready for it. The transformation eventually fired at step 552. The resolution window was 181 steps: the developmental distance between awareness and readiness.",prediction_error,encounter:2,True
v1_6,0,202358875,0.1,320000,where_surprised,"I encountered (5, 9) (unaffiliated cell) at step 373 before my precondition was met. I paid the cost and did not receive the transformation. I was aware of this cell before I was ready for it. The transformation eventually fired at step 552. The resolution window was 179 steps: the developmental distance between awareness and readiness.",prediction_error,encounter:3,True
v1_6,0,202358875,0.1,320000,where_surprised,"I encountered (6, 8) (unaffiliated cell) at step 507 before my precondition was met. I paid the cost and did not receive the transformation. I was aware of this cell before I was ready for it. The transformation eventually fired at step 33044. The resolution window was 32537 steps: the developmental distance between awareness and readiness.",prediction_error,encounter:4,True
v1_6,0,202358875,0.1,320000,where_surprised,"I entered (14, 13) (unaffiliated cell) at step 1015 with the precondition already met. No prediction error was recorded: the transformation followed without surprise.",prediction_error,encounter:5,True
v1_6,0,202358875,0.1,320000,where_surprised,"I entered (14, 14) (GREEN family) at step 32332 with the precondition already met. No prediction error was recorded: the transformation followed without surprise.",prediction_error,encounter:6,True
v1_6,1,1869897005,0.1,320000,what_learned,"I mastered the attractor at (4, 15) at step 358, confirmed by 1723 confirming observations.",provenance,"mastery:(4, 15)",True
v1_6,1,1869897005,0.1,320000,what_learned,"I mastered the attractor at (15, 16) at step 8864, confirmed by 1352 confirming observations.",provenance,"mastery:(15, 16)",True
v1_6,1,1869897005,0.1,320000,what_learned,"I banked knowledge at (14, 14) at step 8873, confirmed by 1734 confirming observations.",provenance,"knowledge_banking:(14, 14)",True
v1_6,1,1869897005,0.1,320000,what_learned,"I flagged (14, 13) as a threat at step 9242, supported by 1 confirming observation. This flag was later disconfirmed (1 disconfirming observation) when the cell transformed. The cell transformed at step 11352.",provenance,"threat:(14, 13)",True
v1_6,1,1869897005,0.1,320000,what_learned,"I mastered the attractor at (9, 10) at step 11352, confirmed by 752 confirming observations.",provenance,"mastery:(9, 10)",True
v1_6,1,1869897005,0.1,320000,what_learned,"I banked knowledge at (5, 9) at step 11389, confirmed by 1309 confirming observations.",provenance,"knowledge_banking:(5, 9)",True
v1_6,1,1869897005,0.1,320000,what_learned,"I flagged (5, 8) as a threat at step 11396, supported by 0 confirming observations. This flag was later disconfirmed (1 disconfirming observation) when the cell transformed. The cell transformed at step 39558.",provenance,"threat:(5, 8)",True
v1_6,1,1869897005,0.1,320000,what_learned,"I banked knowledge at (14, 13) at step 12658, confirmed by 1557 confirming observations.",provenance,"knowledge_banking:(14, 13)",True
v1_6,1,1869897005,0.1,320000,what_learned,"This knowledge at (14, 13) derives from a threat that was flagged earlier (record: threat:(14, 13)). The structural transformation connected them.",provenance,"threat:(14, 13)",True
v1_6,1,1869897005,0.1,320000,what_learned,"I mastered the attractor at (3, 3) at step 15563, confirmed by 1265 confirming observations.",provenance,"mastery:(3, 3)",True
v1_6,1,1869897005,0.1,320000,what_learned,"I banked knowledge at (6, 8) at step 22735, confirmed by 1489 confirming observations.",provenance,"knowledge_banking:(6, 8)",True
v1_6,1,1869897005,0.1,320000,what_learned,"I mastered the attractor at (11, 5) at step 39421, confirmed by 289 confirming observations.",provenance,"mastery:(11, 5)",True
